,id,url,headline,author,date
0,0,https://www.theverge.com//2022/9/19/23361606/apple-iphone-14-pro-max-camera-shake-fix-update,Apple’s fixing the iPhone 14 Pro’s camera shakeh2Mitchell Clarkh2Sep 19,Mitchell Clark,Apple’s fixing the iPhone 14 Pro’s camera shakespanMitchell ClarkspanSep 19
1,1,https://www.theverge.com//2022/9/19/23361833/serial-adnan-syed-murder-conviction-overturned,Adnan Syed freed after judge vacates murder convictionh2Richard Lawlerh2Sep 20,Richard Lawler,Adnan Syed freed after judge vacates murder convictionspanRichard LawlerspanSep 20
2,2,https://www.theverge.com//2022/9/19/23360902/iphone-14-midframe-back-glass-redesign-teardown-fix-apple,Apple’s hidden redesign makes the iPhone 14 much easier to fixh2Emma Rothh2Sep 19,Emma Roth,Apple’s hidden redesign makes the iPhone 14 much easier to fixspanEmma RothspanSep 19
3,3,https://www.theverge.com//2022/9/19/23361399/sony-playstation-5-redesign-detachable-disc-drive,Sony’s first major PS5 redesign will reportedly have a detachable disc driveh2Mitchell Clarkh2Sep 19,Mitchell Clark,Sony’s first major PS5 redesign will reportedly have a detachable disc drivespanMitchell ClarkspanSep 19
4,4,https://www.theverge.com//2022/9/19/23360967/hurricane-season-atlantic-pacific-typhoon-puerto-rico-fiona-alaska-merbok,"Storm season is in full swing in the US, from Alaska to Puerto Ricoh2Justine Calmah2Sep 19",Justine Calma,"Storm season is in full swing in the US, from Alaska to Puerto RicospanJustine CalmaspanSep 19"
5,5,https://www.theverge.com//2022/9/18/23359156/gta-6-leak-gameplay-footage-90-videos?itm_source=parsely-api,GTA 6 gameplay leaks online in 90 videosh2Tom Warrenh2Sep 18,Tom Warren,GTA 6 gameplay leaks online in 90 videosspanTom WarrenspanSep 18
6,6,https://www.theverge.com//2022/9/18/23359755/tom-brady-microsoft-surface-tablet-tampa-bay-buccaneers-saints-football-nfl?itm_source=parsely-api,Tom Brady just chucked another Microsoft Surface tableth2Emma Rothh2Sep 18,Emma Roth,Tom Brady just chucked another Microsoft Surface tabletspanEmma RothspanSep 18
7,7,https://www.theverge.com//2022/9/19/23360773/gta-6-leak-confirmed-hack-rockstar-games?itm_source=parsely-api,"Rockstar confirms hack, says work on GTA VI will ‘continue as planned’h2Emma Rothh2Sep 19",Emma Roth,"Rockstar confirms hack, says work on GTA VI will ‘continue as planned’spanEmma RothspanSep 19"
8,8,https://www.theverge.com//2022/9/19/23361399/sony-playstation-5-redesign-detachable-disc-drive?itm_source=parsely-api,Sony’s first major PS5 redesign will reportedly have a detachable disc driveh2Mitchell Clarkh2Sep 19,Mitchell Clark,Sony’s first major PS5 redesign will reportedly have a detachable disc drivespanMitchell ClarkspanSep 19
9,9,https://www.theverge.com//2022/9/19/23360902/iphone-14-midframe-back-glass-redesign-teardown-fix-apple?itm_source=parsely-api,Apple’s hidden redesign makes the iPhone 14 much easier to fixh2Emma Rothh2Sep 19,Emma Roth,Apple’s hidden redesign makes the iPhone 14 much easier to fixspanEmma RothspanSep 19
